,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
372,100,2,2,2,100,0.0,0.75,0.75,0.75,0.25
373,2,2,2,2,2,0.75,0.75,0.75,0.75,0.75
374,12,100,3,2,100,0.0,0.75,0.75,0.75,0.75
375,2,2,3,3,12,1.0,1.0,1.0,1.0,0.75
376,12,6,12,12,100,0.0,0.0,0.0,0.0,0.0
377,100,100,3,2,100,0.25,0.75,1.0,1.0,1.0
378,12,12,12,12,100,0.5,0.5,0.5,0.75,0.5
379,2,12,2,2,3,1.0,0.75,1.0,0.5,0.5
380,100,2,2,2,12,0.0,0.5,0.5,0.75,0.75
381,100,3,3,2,100,0.5,0.5,0.5,1.0,0.5
382,6,6,6,3,6,0.25,0.25,0.25,0.5,0.25
383,12,6,12,2,100,0.5,0.5,0.5,0.75,0.5
384,12,2,2,2,2,1.0,1.0,1.0,1.0,1.0
385,12,100,6,2,100,0.0,1.0,0.75,1.0,0.5
386,100,100,12,12,100,0.25,0.5,0.5,0.75,0.5
387,2,2,2,2,2,0.25,0.75,0.75,0.75,0.5
388,2,2,2,2,2,0.0,0.25,0.5,0.75,0.75
389,100,2,2,2,100,0.25,0.75,0.5,0.75,0.25
390,2,12,2,3,12,0.5,0.75,0.75,0.75,0.5
391,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
392,2,3,6,3,3,0.0,0.75,0.75,0.75,0.75
393,6,2,2,3,100,0.0,0.5,0.5,1.0,0.0
394,2,100,12,12,100,0.5,0.75,0.75,0.75,0.75
395,100,100,3,2,100,0.0,0.75,0.5,0.75,0.5
396,12,2,2,2,100,0.0,1.0,0.75,1.0,0.75
397,3,2,2,2,100,1.0,1.0,1.0,1.0,1.0
398,6,100,12,12,100,0.25,0.0,0.25,0.0,0.0
399,3,2,2,2,2,0.75,1.0,1.0,0.75,1.0
400,100,2,2,2,100,0.25,1.0,1.0,1.0,0.75
401,3,100,2,2,100,0.5,0.5,0.75,0.75,0.5
402,2,3,12,6,12,0.25,0.5,0.5,0.25,0.0
403,100,100,2,100,2,0.0,0.0,0.75,0.5,0.5
404,100,100,6,6,100,0.25,0.75,0.75,0.75,0.75
405,12,100,100,6,6,0.25,0.5,0.5,0.5,0.25
406,100,100,2,3,12,0.25,0.25,0.5,0.5,0.25
407,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
408,2,2,2,2,2,0.5,0.75,0.75,1.0,0.75
409,12,100,12,100,100,0.5,0.25,0.5,0.5,0.0
410,100,6,6,6,100,0.0,0.5,0.5,0.5,0.5
411,3,2,2,2,2,1.0,0.75,1.0,1.0,1.0
412,3,2,6,2,6,0.25,1.0,0.5,0.75,0.5
413,2,2,2,2,2,0.75,1.0,1.0,0.75,1.0
414,2,12,2,2,12,1.0,0.5,1.0,1.0,0.5
415,100,2,2,2,100,0.0,0.5,0.5,0.5,0.5
416,6,100,6,2,100,0.5,0.5,0.5,0.5,0.0
417,100,2,2,2,12,0.0,1.0,0.5,1.0,0.75
418,12,2,12,2,100,0.5,1.0,0.25,1.0,0.0
419,2,12,2,6,12,0.75,1.0,0.75,1.0,1.0
420,6,2,2,2,12,0.5,1.0,1.0,1.0,1.0
421,6,6,3,3,12,0.5,0.75,0.5,0.75,0.75
422,6,2,2,2,12,0.5,0.75,0.75,1.0,0.5
423,100,2,3,2,12,0.0,0.75,0.5,1.0,0.5
424,100,2,6,2,12,0.25,1.0,0.5,1.0,0.75
425,100,12,2,2,2,0.25,0.75,0.75,0.75,0.75
426,2,3,3,3,2,1.0,1.0,1.0,0.75,1.0
427,2,12,2,2,100,0.75,0.75,0.75,0.75,0.75
